Date, SleepTime, WakeTime, Hours,decST,decWT
7/23/2019,23:49,8:10,8.35,23.82,8.17
7/22/2019,23:09,7:05,7.93,23.15,7.08
7/21/2019,23:47,8:58,9.18,23.78,8.97
7/20/2019,1:34,7:31,5.95,1.57,7.52
7/19/2019,22:59,6:45,7.75,22.98,6.75
7/18/2019,23:32,7:46,8.22,23.53,7.77
7/17/2019,22:55,6:45,7.82,22.92,6.75
7/16/2019,0:23,7:37,7.23,0.38,7.62
7/15/2019,23:09,6:45,7.59,23.15,6.75
7/14/2019,2:02,9:30,7.45,2.03,9.50
7/13/2019,1:36,9:20,7.73,1.60,9.33
7/12/2019,23:19,6:45,7.42,23.32,6.75
7/11/2019,0:01,7:32,7.51,0.02,7.53
7/10/2019,23:24,6:45,7.34,23.40,6.75
7/9/2019,23:31,8:35,9.06,23.52,8.58
7/8/2019,23:01,6:39,7.64,23.02,6.65
7/7/2019,22:54,7:49,8.92,22.90,7.82
7/6/2019,23:11,7:00,7.8,23.18,7.00
7/5/2019,23:00,6:45,7.74,23.00,6.75
7/4/2019,23:46,7:36,7.83,23.77,7.60
7/3/2019,22:28,6:40,8.19,22.47,6.67
7/2/2019,23:05,6:54,7.81,23.08,6.90
7/1/2019,23:00,6:39,7.63,23.00,6.65
6/30/2019,22:46,6:56,8.16,22.77,6.93
6/29/2019,1:20,7:29,6.15,1.33,7.48
6/28/2019,23:27,6:45,7.28,23.45,6.75
6/27/2019,0:59,8:35,7.59,0.98,8.58
6/26/2019,23:24,6:45,7.35,23.40,6.75
6/25/2019,0:08,7:40,7.54,0.13,7.67
6/24/2019,23:33,6:45,7.19,23.55,6.75
6/23/2019,23:05,7:10,8.07,23.08,7.17
6/22/2019,23:14,7:29,8.26,23.23,7.48
6/21/2019,23:20,6:31,7.17,23.33,6.52
6/20/2019,22:17,8:03,9.77,22.28,8.05
6/19/2019,23:18,6:45,7.44,23.30,6.75
6/18/2019,0:08,7:19,7.18,0.13,7.32
6/17/2019,23:24,6:45,7.34,23.40,6.75
6/16/2019,0:03,7:31,7.46,0.05,7.52
6/15/2019,0:34,7:09,6.58,0.57,7.15
6/14/2019,22:49,6:49,8,22.82,6.82
6/13/2019,23:05,6:45,7.66,23.08,6.75
6/12/2019,23:04,6:45,7.68,23.07,6.75
6/11/2019,23:24,6:45,7.34,23.40,6.75
6/10/2019,23:31,5:55,6.39,23.52,5.92
6/9/2019,1:05,7:16,6.17,1.08,7.27
6/8/2019,22:26,7:10,8.72,22.43,7.17
6/7/2019,23:35,9:10,9.56,23.58,9.17
6/6/2019,23:56,7:37,7.67,23.93,7.62
6/5/2019,23:34,7:07,7.54,23.57,7.12
6/4/2019,23:48,8:08,8.33,23.80,8.13
6/3/2019,0:05,8:51,8.77,0.08,8.85
6/2/2019,23:42,8:24,8.7,23.70,8.40
6/1/2019,23:32,23:40,0.13,23.53,23.67
6/1/2019,0:15,8:29,8.22,0.25,8.48
5/31/2019,0:46,9:39,8.88,0.77,9.65
5/30/2019,0:21,9:13,8.86,0.35,9.22
